headline,review,rating
Mistake made by me while ordering,I had by mistake ordered more than 11 packets. I need only 11 packets. How can I rectify my error????,5.0 out of 5 stars
Not working,"Not working properly, stop ruk ruk ke chalta hai",1.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Pen is gd,Nice pe,4.0 out of 5 stars
Value for MOney,Can use as a gift for Kids at affordable price. Just Rs.50 for pack of 5.,5.0 out of 5 stars
Good pens,"Smooth writing and no ink leakage
Overall good one",5.0 out of 5 stars
Good product,My son is very happy with different colors and gel quality is good.,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Awesome,Nice pen,4.0 out of 5 stars
Good one....go for it!!!,A very neat and presentable pack of pens for office or home use. These pens features good built quality and fluidic ink which will make anyone glide through the pages !!!!! I gifted this to one of my close friends and she is delighted.....Recommended for buying,5.0 out of 5 stars
Good one,Good product...pen in very smooth and perfect for making notes,5.0 out of 5 stars
Best pen,Running softly,4.0 out of 5 stars
Nice,Nice,3.0 out of 5 stars
Good quality pens,These are very good pens bright and last long and good grip too .,5.0 out of 5 stars
Worthy,Satisfied.,4.0 out of 5 stars
Good Quality product,"Good quality and no blotching at the back of the paper, love the neon colors.",5.0 out of 5 stars
Three stars,Three stars as sometimes it leaks.,3.0 out of 5 stars
Ok,Ok,3.0 out of 5 stars
It is Water Resistent!,I wanted a water-resistant gel Pen and this pen fulfills my requirement.,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Aprprwciating2,"Wonderful pen
Such a great quality",5.0 out of 5 stars
Nice,Smooth writing,5.0 out of 5 stars
Good Quality,Smooth writing quality and all pens turned out to be in good working condition. My son used all for his school.,5.0 out of 5 stars
Good gel pen,Good,4.0 out of 5 stars
Bright n attractive design,Loved the colors....a good option as a small gift to students,5.0 out of 5 stars
go for get.,best budget own under 50 rupees go for it value for money,5.0 out of 5 stars
"Funkiest pen , value for money 👍",These pens are the best funkiest pen you can get in this price point. 🤯,5.0 out of 5 stars
It's an splendid product,"It's a splendid product my daughter loved it.
Go for it👍🏻👍🏻👍🏻👍🏻",5.0 out of 5 stars
Gel pen body color is good looking,Superb,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Don't go for it if you want a smooth pen,"It was not smooth, so it will be too difficult to write",1.0 out of 5 stars
It's neon body is super,Nice pen,5.0 out of 5 stars
Quality product,Its a quality product.great buying,5.0 out of 5 stars
Good but bad,Good pen.good writing but after half of the ink is over it starts stuck.even then it writes fully.overall ok.,5.0 out of 5 stars
Best pen,It is a very good pen it writes smooth and it improved my writing,5.0 out of 5 stars
..,Good but not better,3.0 out of 5 stars
Good item,Good,4.0 out of 5 stars
Not worth it,The pen does not have ink...,1.0 out of 5 stars
Best pen,"Soft, beautiful , easy to use, lightweight the best pen at this price",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Go through it 😁,Nice 🙂 and amazing product,5.0 out of 5 stars
Good quality for kids,This pen quality is very good n easy to write,5.0 out of 5 stars
Does not flow. Stops writting every few words.,Not suitable for me. Didn't write consistently.,1.0 out of 5 stars
Nice,As expected,5.0 out of 5 stars
Gelpens,"Smooth gel pens , German ink I think",5.0 out of 5 stars
Yes im a happy customer.,My daughter is satisfied with her new pen. This value for money.,5.0 out of 5 stars
Best gel pen,"Longevity, it is less in gel pens , nice pen using since my 5th standard.",5.0 out of 5 stars
Excellent,They are very smooth . Love the product,5.0 out of 5 stars
Package,Good,5.0 out of 5 stars
Good product,Handy to use and easy to write,5.0 out of 5 stars
low cost high quality,charming pen with attractive colours and very smooth writing.Love it.,5.0 out of 5 stars
Excellent,Very nice gel pens useful for school work,5.0 out of 5 stars
Not so satisfied with the results,The pen tip is not so smooth. I did not like it much. Not sure what I will do with the rest as it is a pack of 5.,2.0 out of 5 stars
good,outstanding,5.0 out of 5 stars
Ink problem,These pens are not working properly.,3.0 out of 5 stars
Excellent product,As expected and delivery in excellent condition,5.0 out of 5 stars
Good,It was nice,5.0 out of 5 stars
Excellent product for beginners students,Finally my kid got a pen which fulfilled all requirements..my kid is in 6th class.,5.0 out of 5 stars
Very bad !!!!!! Only 4 pens when mentioned 5,"The listing said 5 pens but i got only 4 and in improper packaging. This is stealing. Not fair. Lying to customers!!!!!!!
Absolutely no value for money. Terrible listing",1.0 out of 5 stars
Good,Like an ordinary gel pen,3.0 out of 5 stars
It's not bad,Not bad,3.0 out of 5 stars
ink spills,ink spills on paper.,3.0 out of 5 stars
Worst quality pen,"These pens look good but that’s where the good thing stops. They have ink for maximum 1 day (10-12 pages max), keeps leaking (has spoiled so many of my clothes) and writes very poorly. I did not expect this bad of a quality pen from this company. Please stay away from these pens - they are my worst purchase on Amazon so far.",1.0 out of 5 stars
Reveiw,Love this product value of money 👍,5.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Quality is average.,Quality is average.,3.0 out of 5 stars
Great,Although the body is not like the black octane which is coated with something grippy,5.0 out of 5 stars
Nice,"Good quality, seems beautiful, smooth writing",5.0 out of 5 stars
Must have for student,Classmate pens are worth for money. I am a great fan of octane one.,5.0 out of 5 stars
Some pen r not working,Like,3.0 out of 5 stars
Don't purchase this product,"Don't purchase this product
Useless👎",1.0 out of 5 stars
Best,It is a very good blue gel pen,5.0 out of 5 stars
Price worthy,A fabulous and worthy product.,5.0 out of 5 stars
😁,Same as in the market 😂,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Awesome,Awesome,5.0 out of 5 stars
goood,goood,5.0 out of 5 stars
great,writing good quality,5.0 out of 5 stars
Excellent,Very good,5.0 out of 5 stars
Good quality,"Nice product
Good colour pens. Nice quality. value for money 💸💸💰💰",5.0 out of 5 stars
I like it..,Nice gel pen with in a reasonable price range..,5.0 out of 5 stars
Bad product,Ink leaking from bottom of pen,1.0 out of 5 stars
Good Product,Very good for writing...Value for money,5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Worst pen i have ever written, Worst pen I have ever written,1.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Worth buy,"Worth product, smooth and",5.0 out of 5 stars
good,value for money,5.0 out of 5 stars
Nice,Nice qulity,3.0 out of 5 stars
Though 4 sets were in the order but found only 3 sets in the parcel,,1.0 out of 5 stars
Ok,Ok,3.0 out of 5 stars
Nice pens,"These are awesome pens,and this color body is the best",5.0 out of 5 stars
Good,Good. As advertised,5.0 out of 5 stars
Good product,Very nice .😊,5.0 out of 5 stars
Nice pen,Good product,5.0 out of 5 stars
Writes smoothly with regular stops,"Stops midway. Saw with multiple pens. Wtites smoothly otherwise.
Will not buy again.",2.0 out of 5 stars
Stops writing in few minutes - again and again.,Stops writing in few minutes - again and again.,5.0 out of 5 stars
Not worthy 😹,Very rough packing and product is not look like actual image. It's worth is only 50rs. Each one is costing 10rs. Then why Amazon charged 139??,1.0 out of 5 stars
Good,Great purchase. Especially for school children,5.0 out of 5 stars
Nice colours,Same old octane ink but new vibrant body colours,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Good quality pens,Good quality pens.,5.0 out of 5 stars
Nice,Nice product,3.0 out of 5 stars
You can buy without a doubt,Good pen.smooth writing !,5.0 out of 5 stars
Nice buy,Nice buy,5.0 out of 5 stars
Good writing,Product is very nice,5.0 out of 5 stars
Good,Smooth,5.0 out of 5 stars
Best quality with water proof and soft while writing,Proud of Amazon,5.0 out of 5 stars
Awesome product,Very smooth and easy to write ...,5.0 out of 5 stars
5 star rating for shipment,Good,5.0 out of 5 stars
Bad refil,It is not working and I shake then it work,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice,Pen looks great. Value for money. Excellent.,5.0 out of 5 stars
Not happy,Won't buy it again as it smudges and finishes fast,2.0 out of 5 stars
Really good pens,"Blue gel pens with smooth flow, nice grip, doesnot interrupt in between",5.0 out of 5 stars
Great deal,Grip is good. It writes smooth,5.0 out of 5 stars
Good Quality,Quality is Good,5.0 out of 5 stars
Good pen,It is a good writing pen,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Worth charged for...,At this range it's really worthfull..,5.0 out of 5 stars
Really smooth to write.,Awesome,5.0 out of 5 stars
Good.,Good.,5.0 out of 5 stars
Happy,Loved the vibrant colored edition,5.0 out of 5 stars
Value fr money,Weites well only. Good gel ink.,5.0 out of 5 stars
Awesome,Awesome,5.0 out of 5 stars
Classmate is always A Good Company,Very good,5.0 out of 5 stars
Must buy,Amazing pens,5.0 out of 5 stars
Good one,Pen is blue but pen body is colourful.more attractive,5.0 out of 5 stars
Pen worth the price,Pen packing was very good and quality of pen is awesome,5.0 out of 5 stars
Poor plastic quality,Plastic quality of the pen is very poor,2.0 out of 5 stars
Thanku,Worth,5.0 out of 5 stars
Good better best,These are the best pens I have used,5.0 out of 5 stars
Good one,I liked it and will buy it again,5.0 out of 5 stars
Good quality,Fully satisfied,5.0 out of 5 stars
Value for money,Nice one,5.0 out of 5 stars
Colourful Body Gel pen😁,Very good product.classmate goods are always best in quality,5.0 out of 5 stars
Too good!!!!!!,Excellent pen!!!! This is my all time favourite 😍😍😍😍😍,5.0 out of 5 stars
Good value for money,Smudges and gets over too fast,2.0 out of 5 stars
Good,Good looking and writing,5.0 out of 5 stars
Long lasting,The lid of the pen is long lasting,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Excellent,Saw the advertisement and bought it .very good quality.,5.0 out of 5 stars
Go 4 it,Regular gen pen colorful,5.0 out of 5 stars
We ecpected,Amazing performance,5.0 out of 5 stars
10 ka pen 8 mein 😂😂😂,One of the best gel pens available.,5.0 out of 5 stars
Quality and Best in class product,Awesome product.my favorite gel pen,5.0 out of 5 stars
Nothing great in it.,Nothing great in it.,5.0 out of 5 stars
Best pens got it for 40,"Just one word

Perfect",5.0 out of 5 stars
Good,Good for this price range,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
👌🏻👌🏻👌🏻👌🏻,👍🏻👍🏻👍🏻👍🏻👍🏻,5.0 out of 5 stars
Just go,Cheap and best quality,5.0 out of 5 stars
Average Quality,This is average pens,5.0 out of 5 stars
Looks good and material quality is ok but....,Looks good and material quality is ok but some pens found skipping or missing while writing..... So not fully satisfied with the product.,2.0 out of 5 stars
Bad product,Very Bad Pen...,2.0 out of 5 stars
Budget pen,Easy to write *,5.0 out of 5 stars
Very happy,No need to improve,5.0 out of 5 stars
Gel pen,Gr8,5.0 out of 5 stars
Kuddos,Good and smooth,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
Nice set of Pen's,Classmate Octane Gel pen is super. Smoothly effect,5.0 out of 5 stars
Enjoyed,Nice pen,5.0 out of 5 stars
Good one,Good one,5.0 out of 5 stars
Excellent product,Excellent product,5.0 out of 5 stars
Smooth,Good product,5.0 out of 5 stars
"Super, worth it 👌",Very Good product,5.0 out of 5 stars
Value for money,Good quality product..No complaint of leakage...,5.0 out of 5 stars
Nice,Good product,5.0 out of 5 stars
Kevin Sajan,Best pen,5.0 out of 5 stars
Lovely pen😊,Very good pen,5.0 out of 5 stars
Love to write with these pens,Nice and smooth to write.,5.0 out of 5 stars
No,Ok ok,2.0 out of 5 stars
Nice,Nice gel pen,5.0 out of 5 stars
worth,good quality,5.0 out of 5 stars
Beautiful,Smooth writing & beautiful vibrant body color,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Excellent pen,Excellent product.,5.0 out of 5 stars
very smooth,Very smooth,5.0 out of 5 stars
Delivery on time,Value for money,5.0 out of 5 stars
Best gel pen,GOOD,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
amazing gel pens,fab.😍,5.0 out of 5 stars
Super,Nice,5.0 out of 5 stars
Nice,Awesome,5.0 out of 5 stars
Too good,Nice one worth buying,5.0 out of 5 stars
Gorgeous,Nice,5.0 out of 5 stars
Please do not buy,Not so smooth and stop working suddenly,2.0 out of 5 stars
Good,Good,5.0 out of 5 stars
👍👍,☺☺☺💐💐,5.0 out of 5 stars
Very good,Very good,5.0 out of 5 stars
Pen was not smooth while writing..,Was not up to the mark.,2.0 out of 5 stars
It is good and useful,I like this product very much,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Attractive,My daughter really liked it,5.0 out of 5 stars
Colorful.,Colorful.,5.0 out of 5 stars
Super colours,"Super neon colours
I love it",5.0 out of 5 stars
Good,Good looking pens,5.0 out of 5 stars
Luv it,Fantastic🤘😝🤘,5.0 out of 5 stars
🤥🤥🤥,Overall Good,5.0 out of 5 stars
Good,Nice,5.0 out of 5 stars
Showstopper,It stands out of the crowd.!!!,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Very nice,Super Pen 😍😍,5.0 out of 5 stars
Good product timely delivery,Nice product good writing,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
value for money.,Worth to buy,5.0 out of 5 stars
Beautiful pens,Beautiful pens,5.0 out of 5 stars
👍,Good,5.0 out of 5 stars
Nice,Worthy,5.0 out of 5 stars
Not working properly....no worth to buy,No,1.0 out of 5 stars
"Ordinary blue pens, not neon colour ink",Design of the pack is very deceiving... These are ordinary blue pens in colourful body... I thought i was buying neon ink pens... Disappointing.,1.0 out of 5 stars
Good,Wow,5.0 out of 5 stars
I sold you sold we all sold this product,Very good,5.0 out of 5 stars
Octane gel pens ..for a smooth writing ..good quality..,Value for money...,5.0 out of 5 stars
Good pens,Lovely Bright pens,5.0 out of 5 stars
Good,It is good,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Beautiful pen for beautiful handwriting,Very smooth pen,5.0 out of 5 stars
Good,Nice pen,5.0 out of 5 stars
Iove,Love,5.0 out of 5 stars
S***r,Mass,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice product,Nice product,5.0 out of 5 stars
V good product,Good product,5.0 out of 5 stars
Good product,Colourful good product.,5.0 out of 5 stars
Good,Good,2.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Smooth writing,Useful,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Not recommended,Using 3rd pen out of the pack and all of them go dry in between writing. When there is flow it's smooth but stops thrice minimum while writing a page,1.0 out of 5 stars
Awesome,Amazing pen,5.0 out of 5 stars
Wowwwww,Gel pens wow,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Amazing,Nice popping colors,5.0 out of 5 stars
Third Class Pen,"It fills like pen nip does not have balls may be fake products.
I had to throw all of these pens no use at all very irritating.",1.0 out of 5 stars
Super product,Best,5.0 out of 5 stars
Best,Ok,5.0 out of 5 stars
Nice,Excelent,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Good one,Awesome 👍,5.0 out of 5 stars
Very smooth!!,Very smooth!!,5.0 out of 5 stars
gud,gud,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Smooth,Smooth writing,5.0 out of 5 stars
pen,awesome,5.0 out of 5 stars
Smooth and good looking,Smooth,5.0 out of 5 stars
👍🏻,👍🏻,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Smooth pain,Helpful,5.0 out of 5 stars
Excellent,Excellent,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
NO,"Big mistake.
Pens are rough to write with. And uncomfortable to hold.
Refill finishes fast..
Go for something else",1.0 out of 5 stars
Good,Ggod,5.0 out of 5 stars
Good pen,Excellent,5.0 out of 5 stars
"Don't buy, old useless pens",Very bad quality duplicate pens. Ink is all dried up. Seems to be old and fake.,1.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Pls don't buy,Total waste of money... These pens leak ink once you start using. I had to throw them out..,1.0 out of 5 stars
Inconsistency in ink flow. Don't buy,No consistency what so ever. For few seconds it writes and stops writing.. And then writes again.. Worst product.,1.0 out of 5 stars
Lovely colours,Nice pen,5.0 out of 5 stars
Fake Product.,Fake Product. Pen is like very unpleasant to write with. I don't like it.,1.0 out of 5 stars
Painful to write with,Poor quality. Got pain in my hands writing with this. Not at all ergonomic.,1.0 out of 5 stars
neon colors 😍,Lovely product.,5.0 out of 5 stars
Don't waste your money,After sometime the pen won't write continuously. The thickness of line will fade away.,1.0 out of 5 stars
Poor Quality.,Old stock. May 2020. Might have dried the ink. Not worth. Need to return.,1.0 out of 5 stars
leaks,leaks,2.0 out of 5 stars
Value for money,Not bad,2.0 out of 5 stars
Very very worst product,Very Worst.. Don't buy this products.,1.0 out of 5 stars
Not satisfactory,I'm telling honestly these pens doesn't write once they fall on floor they are completely unsatisfactory,1.0 out of 5 stars
don't waste your money,Worst product please don't buy these pens they are not at all working properly,1.0 out of 5 stars
Recommended,Brilliant,5.0 out of 5 stars
"Poor quality pens, ink not flowing smoothly","Poor quality pens, ink not flowing smoothly, ink stops after each word written.",1.0 out of 5 stars
Pen,Don't work properly,1.0 out of 5 stars
FOOL and SELL,"Only body is neon. They could have used same font size of ""NEON"" for ""BODY"" also. But they intend to fool and Sell",1.0 out of 5 stars
Uneven writing (dry and wet ink),"Pen not working smoothly, while writing it dries out, and then suddenly released more ink.
Bad quality.",1.0 out of 5 stars
Waste of money,Waste of money and time too.,1.0 out of 5 stars
very bad product,bad product don't waste your time,1.0 out of 5 stars
Very bad pen,"Very bad pen I get
I have oder 10 pens but I get only 5 pens for 500 rupees",1.0 out of 5 stars
Pen quality is not good,not writing properly,1.0 out of 5 stars
Worst product,Seems to be old stock. Not a single pen functioned well,1.0 out of 5 stars
Waste f mny,Thought multicolor.nd bouht it,1.0 out of 5 stars
Not a good buy,Worst pen. Stops writing in between and ink leaks from tip,1.0 out of 5 stars
Bad,Very bad,1.0 out of 5 stars
all blue,all blue only,1.0 out of 5 stars
Pens have cracked body,These are damagaed pens.Pack contains pens having cracked body.,1.0 out of 5 stars
Not good,"Didn't like them, far better options available",1.0 out of 5 stars
Ink flow is noy Smooth,"Looks Awesome
but Ink flow is not Smooth.",1.0 out of 5 stars
Poor quality,Poor quality,1.0 out of 5 stars
-5stars,"It should have given -ve stars, it plastics is very cheap. Tottaly worthless product.",1.0 out of 5 stars
Worst,Worst product,1.0 out of 5 stars
Bad,All r blue in color,1.0 out of 5 stars
Confusing description,"They are all of same color I.e blue , Amazon should tell",1.0 out of 5 stars
Poor display of product specification.,Misleading Qty info,1.0 out of 5 stars
V poor product,"Very poor quality
Ink dries up after two used",1.0 out of 5 stars
Not so nice experience,"Worst experience..
Stops in between while writing..
May be old stock.",1.0 out of 5 stars
Waste,Not at all useful product.,1.0 out of 5 stars
Best to through an app,Best over the application .easily accesseble during shortage of time to whom cann't go to market .go for it to save your time and money,5.0 out of 5 stars
Excellent pen in the world,Good pen low exallent peformence and writting .world number 1. Pen beautyfull nice grip good for writing for childrens. And studying persons,5.0 out of 5 stars
Cheap product....add gel is best,Worst,1.0 out of 5 stars
Perfect product,Very nice value for money and quality is very good and in different body colours and light is weight easy to hold.,5.0 out of 5 stars
Bad quality,Not working properly,1.0 out of 5 stars
dont buy,pen is not working properly,1.0 out of 5 stars
Poor quality,Quality not good,1.0 out of 5 stars
Not Gud..,Waste pls dnt buy....horrible product,1.0 out of 5 stars
It's really comfortable to use and smooth writing.,"Easy to hold and good water resistance plus it's pretty cheap for the quality provided. Moreover, it's pretty smooth and comfortable to write with.",5.0 out of 5 stars
Gel pen,"It's an gel pen so we can't write in class notes.
Writes well on other papers easy to use ...",5.0 out of 5 stars
Good one,Liked by the kid also. Surprise X'mas gift for him. He liked it being multi-colored. Good one. Though cost is on higher side,4.0 out of 5 stars
Too much ink leakage,Better to go with some other gel pen as the gel spread too much making your hands untidy. Ink also appears on the other side of the page.,1.0 out of 5 stars
These are not neon colored pens...only body is neon,"Its quite obvious the seller has written a factually incorrect description to grab attention. No where in the description is it mentioned that it writes in blue ink. Only the body is neon color, they all write in blue ink. The first statement itself is a lie..and that too purposely written so. Because by the time you buy it, the amount is too less for you to return it. Pls give this guy a very low rating for all the parameters. Whenever anyone posts a purposely wrong description, pls give lowest rating",1.0 out of 5 stars
Writing is very good,Pen is very good and easy to write......,4.0 out of 5 stars
Excellent Product 👌👌👌,The product is of excellent 👌 quality. I recommend you to go for it; cheap and comfortable. Gives neat handwriting; no leakage.,5.0 out of 5 stars
IF NO CLASSMATE ARE THERE FOR US TAKE YOUR CLASSMATE PEN AS YOUR BEST FRIEND,"This brand pens will long lasting .that too in neon colours cool ,now in cheap rate this app gives more gel pens .🙂🤗🙂",5.0 out of 5 stars
Happy costerm,Amazing products,5.0 out of 5 stars
good product,Good product,5.0 out of 5 stars
Price,Price is high,5.0 out of 5 stars
Nice,Good pen,5.0 out of 5 stars
ok,super,5.0 out of 5 stars
Nice,Awesome pens,5.0 out of 5 stars
Good pen for students,Excellent,5.0 out of 5 stars
Wrong information of price,The description says 50 rs for 5 pens it's wrong information while payment it shows 250 rs,1.0 out of 5 stars
"Good product, nice varieties of colors , packing is good and also cloth bag compliment(ITC)","Liked the trendy/bright colors
Liked the pen ink& flow quality
Thank ITC for the lovely cloth bag compliment",5.0 out of 5 stars
Gel pens 👍,Smooth writing,5.0 out of 5 stars
good,good it is nice it is excellent it is value for money pls buy this only thank you very much,5.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Good and best pen.,Love the pack of pen . I liked the pink one the most. Writing is smooth and beautiful. Love it😍😍😍😍😍 I like octane brand. Perfect price with item. 👍,5.0 out of 5 stars
Ink is not good,Average product,3.0 out of 5 stars
Colourful and dependable,Colorful looking dependable pens. Ink quality is good and it's waterproof too. The grips are pretty big so u can easily write for long periods without hurting ur fingers. And secondly it is from house of classmate so its no complains here.,5.0 out of 5 stars
Good product,Good product,5.0 out of 5 stars
Best pen,I love the colour so much,5.0 out of 5 stars
Worth it,Kids love using it.. Go for it,5.0 out of 5 stars
bad,bad pens.,1.0 out of 5 stars
Nice Pens,Value For Money.,5.0 out of 5 stars
Satisfied,It's like every other gel pen. Satisfied,5.0 out of 5 stars
Value for money,Longevity,5.0 out of 5 stars
good,good,5.0 out of 5 stars
Fantastic,Good,5.0 out of 5 stars
Very nice 👌👌,Awesome pens 👍,5.0 out of 5 stars
Quickly they run out,Wonderful,5.0 out of 5 stars
5star,Like,5.0 out of 5 stars
Good product,Useful for students,5.0 out of 5 stars
Fabulous,"Superb looking pen with nice grip.
Best in this prize.
Join prime, and enjoy free delivery😃👍.",5.0 out of 5 stars
Good,Good,2.0 out of 5 stars
Very useful pen.,Likes it's colour.,5.0 out of 5 stars
Very good,Good,5.0 out of 5 stars
best,best gel pens,5.0 out of 5 stars
Bad quality,The pens aren't good. They are neither comfortable to hold nor good to write.,2.0 out of 5 stars
Nice,Best jel pens,5.0 out of 5 stars
Very good,Good,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
Excellent,"Smooth flow, easy to hold and write. Loved the quality. Good for daily writing
Bright cheerful body colour",5.0 out of 5 stars
FLUENT WRITING,"Fantastic product by Octane as they did before . Very smooth and thick writing. No ink sludge . Attractive colors , five fantastic neon colours. Replaceable refill . My rating is ***** . Super price. Rs 10/ per pen. No other company produces such a quality pen for Rs 10/- .",5.0 out of 5 stars
Good Quality,Best Quality,5.0 out of 5 stars
About pens of octane neon,Good product good pen to write you can buy,5.0 out of 5 stars
Bad product,Wastage of money,5.0 out of 5 stars
Excellent product with reasonable price,The best gel pen I have ever used. It’s so smooth and comfortable to write.,5.0 out of 5 stars
Not value for money,Cannot use for writing. Ink finished soon after wring 2 paper. Can use for drawing margins.,3.0 out of 5 stars
Nice,Value for money,5.0 out of 5 stars
Excellent,As described. 👌👍,5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
I bought regular blue gel pens,"I only bought this because i thought the ink would be neon colour too. But these are regular blue gel pens. All of them. The moment i wrote my first letter, i was utterly disappointed. May be i was negligent of seeing the description or the description was not so clear. I mean i am okay to use the pens anyway but its just not what i thought i was buying. I trust the brand though. I bought it, so i bought it!",4.0 out of 5 stars
Nice grip,My son loves this pen from Octane as it is easy to hold and writes well.,5.0 out of 5 stars
Brilliant,High quality product.. amazon done a real prime delivery within 3days of ordering.. pens are damn smooth.. overall great experience..,5.0 out of 5 stars
Best,Best budget pen,5.0 out of 5 stars
I like the pens,"Go for it, must buy product",5.0 out of 5 stars
