headline,review,rating
Colourful pens 😊,"I like the colours of pens.
Writting experience is good.
🤘🤘
Seller please lower your minimum order value.",4.0 out of 5 stars
Nice,,5.0 out of 5 stars
These pens are very smooth and waterproof too...,Lovely pens 🖊 ❤️,5.0 out of 5 stars
Nice,,4.0 out of 5 stars
Very smooth writing,,4.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
It's a good product,"The product is good, and my son likes it.....",5.0 out of 5 stars
Not a value for money product.,"i rcv this item, but in damage condition, i called customer care the apply for replacement and return also but no body come to rcd me out, wrost product.",1.0 out of 5 stars
Best,Best,5.0 out of 5 stars
Smooth,"Loved the product, very smooth and apt colour of ink
Must go product",5.0 out of 5 stars
Good,All are blue colour ink pen.. it seems different colours..,4.0 out of 5 stars
Value for money,Very comfortable for writing exciting matters. Like it very much,4.0 out of 5 stars
Waste of money,Leakage problem in every pen waste of money never buy,1.0 out of 5 stars
great pen.easy grip,great pen.easy grip,5.0 out of 5 stars
Good for the price,Different coloured blue gel pen. Good writing. Ok for the price.,4.0 out of 5 stars
Grip for fingers is not enough to hold the pen,Grip for fingers is not enough to hold the pen,4.0 out of 5 stars
cool and smooth,"these cute pens are of Fine quality .. writes smoothly.. good for this price. must buy.
gonna purchase again. thanku",4.0 out of 5 stars
Bad packaging,"The product is ok , i got it on time, but packagimg was trash, they could have gave it in a plastic instead, it would have been ok for me",4.0 out of 5 stars
Octane pen is not working,It nor working and it is no so smooth,2.0 out of 5 stars
Satisfactory,Nice product,4.0 out of 5 stars
Good,"Nice gel pen, easy to write.",4.0 out of 5 stars
Not bad,Kids will love these funky colors.,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
nice product,nice product,3.0 out of 5 stars
fine,"Wont last long, but smooth and quick.",3.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Waterproof and smooth writing,"I was doubtful to buy this set seeing the mixed review but believe me it was an amazing purchase. It writes smoothly, I tried sprinkling water after writing but it remained same without any smudge. Just give a try",5.0 out of 5 stars
Best pen for students.,This is very comfortable and smooth for writing.,5.0 out of 5 stars
Value for money,Neon shades are cool and kids love to use it,5.0 out of 5 stars
"Very nice,i satisfy this item","Very nice,i satisfy this item",5.0 out of 5 stars
Best in gel Pen,I think this is a good 👍 pen in this range,5.0 out of 5 stars
Ok it's good,Avg,3.0 out of 5 stars
Good product,All pens are good.,5.0 out of 5 stars
Best purchase,Best purchase on a discount rate,5.0 out of 5 stars
Good Quality Product,"Product Design and quality is good, smooth flow of ink gives smooth writing, overall good product.",5.0 out of 5 stars
Quality,"Good product. 👍
I love classmate gel pens",5.0 out of 5 stars
Somewhat Good, Old stock received . Cannot give gift to others . Be carefull while sending your products .,3.0 out of 5 stars
It's a Father of Smoothness,"This is my first gel pen and i am happy to see it's smoothness. It's value for money. You can go with it....

Thank you Amazon for fast DELIVERY",5.0 out of 5 stars
Nice pen,"Value for money product
Thank u Amazon",4.0 out of 5 stars
Best in segment,Very good product must buy,5.0 out of 5 stars
Value for Money,"Light weight

Colored Body

Nice Nib

Good Gel",5.0 out of 5 stars
