headline,review,rating
My bill is 4 pc colgate but i have recive 3 pc Colgate,,1.0 out of 5 stars
Nice product,Nice product,4.0 out of 5 stars
Piyush,Very nice toothpaste,5.0 out of 5 stars
Original product,All good,5.0 out of 5 stars
Good saving,Buy in bulk & save more,5.0 out of 5 stars
Best,Like the product,5.0 out of 5 stars
Value for money,Very good product,5.0 out of 5 stars
Good product.,Good quality,5.0 out of 5 stars
Nice,Nice Products,5.0 out of 5 stars
"Quality : Average , Buy 1000 gm @ 370 to save more money","Quality : Average , Buy 1000 gm @ 370 to save more money,

quality of Dabur is better",5.0 out of 5 stars
....,Like,4.0 out of 5 stars
Great product,Very good quality toothpaste with good medicine,5.0 out of 5 stars
Superb quality best.,Very good product.value for money. It's good way to purchase on online.in cheap price.in market high price .so on Amazon is best way to purchase.,5.0 out of 5 stars
Evergreen,Good. Value for money,4.0 out of 5 stars
Value for money,Freshness and flavour are food,3.0 out of 5 stars
Good one,Ok,3.0 out of 5 stars
Nothing like colgate.,Its the best among all toothpaste.,5.0 out of 5 stars
Texture different,Texture different from a regular colgate from a shop. Like a moisturiser!,2.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Quality and trusted,Excellent product . In so cheap price . Go for it .,5.0 out of 5 stars
Hope the day will come out with love and hope for the next few days.,Good nothing more special about this.,3.0 out of 5 stars
Good toothpaste to use,Superb quality and good flavour,5.0 out of 5 stars
Healthy is wealthy,Nice product.. delivery is on time.. Thankyou.,5.0 out of 5 stars
Happy,I get in batter price on super valuable days.. so happy .. and product is as well as good.. Colgate is leading product nowaday...,5.0 out of 5 stars
Good quality,Product is Good . But packaging Could have been better,4.0 out of 5 stars
Super,I like it,5.0 out of 5 stars
Best product at this price point,Best to buy budget pack,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
The product is good. I have been using it for years,"The product is good. I have been using it for years. Whenever I had occasion to use other tooth pastes, I had noticed that they could not give me the utility and satisfaction which this Colgate strong teeth tooth paste gives. Hence I do not think of any other tooth paste for my family.",5.0 out of 5 stars
Money 💰 saving,Good,5.0 out of 5 stars
Colgate,Colgate,3.0 out of 5 stars
Alright,"Product manufacturer- good
Box quality- good",5.0 out of 5 stars
Always better,Good morning matlab colgate ke sang,5.0 out of 5 stars
Best product,Gives freshness as well as flavor is also good. Value for money..,5.0 out of 5 stars
Value for money,Value for money,5.0 out of 5 stars
Good,Nice,5.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Best product,"Very old and most believe able company, just can say I called and get the best.",5.0 out of 5 stars
It is my favourite toothpaste since childhood,It is my favourite toothpaste since childhood. I used to eat it in my childhood secretly. It is very good in taste as well as freshness. I m joyful to use it since I got 200gm+100gm+1 toothbrush in just Rs.108 in a lightning deal.,4.0 out of 5 stars
Good,Colgate tooth paste is really good for all of your teeth,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Super,Super,3.0 out of 5 stars
Worth for money,Good one,4.0 out of 5 stars
Value for money,Super,5.0 out of 5 stars
Thank you Amazon,I like it,5.0 out of 5 stars
Nice product,Very good product at very good price,5.0 out of 5 stars
Januin product thank you Amazon,Januin product thank you Amazon,5.0 out of 5 stars
Amazing,Amazing product must buy it and I am also in the same thing to use this please buy it ok,5.0 out of 5 stars
Satisfied,Upto my satisfaction.,5.0 out of 5 stars
excellent,pucho mat sant chodkar Sab kuch saf karega,5.0 out of 5 stars
"Nice, this rate is good like wholesaler, i m so happy","Nice, this rate is good like wholesaler, i m so happy",5.0 out of 5 stars
nothing special,as usual,4.0 out of 5 stars
good deal,good deal,5.0 out of 5 stars
Average product,"Average product,just satisfactory",4.0 out of 5 stars
Very good product,"Value for money 👍👍👍👍
Fresh and nice flavour",5.0 out of 5 stars
Awesome,Value for money,5.0 out of 5 stars
This is Colgate.. Always better as per price and quality... 99.995% people like this,Great,5.0 out of 5 stars
quality,there is no assurance. But we believe coming from a reputed company and the brand the quality is good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice,Good,4.0 out of 5 stars
Nice,Good product,5.0 out of 5 stars
Thanks Amazon.,Genuine product.. Value for Money.. Go for it,5.0 out of 5 stars
Excellent,Excellent,5.0 out of 5 stars
Missing item,100g colgate was missing. Buy from.market for cheaper price,1.0 out of 5 stars
👍,👍👍👍,5.0 out of 5 stars
Good,OK,4.0 out of 5 stars
Best,Very nice product,5.0 out of 5 stars
Good,Value for money product and good quality.,5.0 out of 5 stars
Value for money,It's worth buying.,5.0 out of 5 stars
Good,Like,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Save money,No 1,3.0 out of 5 stars
Okay,Ok,5.0 out of 5 stars
Packaging is poor,Its good,4.0 out of 5 stars
Nice,Nice product,4.0 out of 5 stars
Best Quality colgate is the one.,"Best in quality & nice product.
Colgate is best.
Cloudtail India the Amazon Seller always dispatches the products on time.
Thumps up👍",5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Good,All are good,4.0 out of 5 stars
Very nice,This product is packing not suitable.,4.0 out of 5 stars
Good service but need improvement in packing,Good service but need improvement in packing,5.0 out of 5 stars
Best ever,Feel fresh.,5.0 out of 5 stars
Colgate,"Well known product. Choice of millions. But it came in a different ""brand package""
Means I have NOT seen a Colgate toothpaste of this kind. Probably because I stay in a small town. BUT ALL COLGATE QUALITIES WERE PRESENT.",5.0 out of 5 stars
Good Purchase,"good condition, good product delivered,thanks Amazon",5.0 out of 5 stars
Ok,Like,5.0 out of 5 stars
Good,Good product,4.0 out of 5 stars
👌👌,I like it,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Value of money.,Product quality and quantity is too much good. Nice product this product is same as shown. Thanks,5.0 out of 5 stars
Quality plus quantity 👌👌👌👍👍👍👍,It's very good and saving pack,5.0 out of 5 stars
Best Toothpaste,Best toothpaste ...I ever used,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
No,Nice product,5.0 out of 5 stars
Excellent,Good,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Grey product,All time favourite,5.0 out of 5 stars
Excellent product,Super,5.0 out of 5 stars
Must buy,Good,5.0 out of 5 stars
Very good product from Colgate,"Very nice product from Colgate. The mint is reducing day by day, but still acceptable. Overall good product at 167 that I have bought during the great Indian festival.",5.0 out of 5 stars
Value for money item!,Value for money item!,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
The best ever,Freshness,5.0 out of 5 stars
Best,Best toothpaste 👍,5.0 out of 5 stars
Okk,Item is ok but a little bit damage,3.0 out of 5 stars
Nice,Nice,4.0 out of 5 stars
Good quality,Super,5.0 out of 5 stars
Good,Good product. And value for money,5.0 out of 5 stars
Colgate combo in less price,Value for money,5.0 out of 5 stars
Nice as expected,Vdhsk,5.0 out of 5 stars
Nice Product,Good Product at lesser price from market..,5.0 out of 5 stars
Very good product 👌,Very good product 👌,5.0 out of 5 stars
Good purchase,Nice,4.0 out of 5 stars
BETTER RESPONSE,Happy support,4.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Missing toothbrush,Product is okey but not sealed box and missing toothbrush it's not good,3.0 out of 5 stars
Good,Product is good but packing is not good,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Ok,Nice,5.0 out of 5 stars
The best toothpaste ever,One of the oldest and best toothpastes!,5.0 out of 5 stars
Excellent,Good,5.0 out of 5 stars
Wow,Good Quality Good Product 100 satisfaction,5.0 out of 5 stars
Best,Best,4.0 out of 5 stars
Check the offer.,Price worthy.every family shoud buy.,5.0 out of 5 stars
Value for money,Like,4.0 out of 5 stars
I m happy for Amazon service,"Good experience, Amazon service is better than other.",5.0 out of 5 stars
Almost fine,Good product,5.0 out of 5 stars
Good purchase,Good,4.0 out of 5 stars
Recommended,"Value for money
I received in just 188 with shipping.
On time
Good packing
Fresh product just 1 month old manufacturing date.",5.0 out of 5 stars
Excellent product and value for money,Excellent product and value for money,5.0 out of 5 stars
Worst delivery ever today... In this pamdemic time,Package already break n product open whats going on,5.0 out of 5 stars
Ok,Okay,2.0 out of 5 stars
"Good product, feel fresh",Good product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Lot's of chemicals.,Not for children. Harmful for internal organs if consumed.,4.0 out of 5 stars
Costly,Too costly when compared to Himalayan toothpaste.,3.0 out of 5 stars
Nice,Very good product,5.0 out of 5 stars
Good,I hobe it not original product.,4.0 out of 5 stars
Nice,Value for money,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Cheap price but not compromised in quality.,"It's the best product for total dental care, recently changed the getup but I think product quality is till now carrying it's traditional. My family used it so long ....., since my childhood!",5.0 out of 5 stars
Ok,Product is good but package was open,5.0 out of 5 stars
Received with original tape torn.,"Product is good but received with open packing, original tape was already torn up.",5.0 out of 5 stars
Gud,Gud,5.0 out of 5 stars
Good test 👍,Same things sugar,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Good,It's good...,5.0 out of 5 stars
Good,Colgate toothpaste is very good product in the world. I am also used this.,5.0 out of 5 stars
Hood,Good,5.0 out of 5 stars
Good,Value for money,4.0 out of 5 stars
Wonderful product guys..,"Excellent product from a trusted brand...
Use this tooth paste inthe mornings and colgate mouthwash in the night for excellent results.",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Smile with Colgate,"Superb deal.
Loved it.",5.0 out of 5 stars
Good,Good product but not safely packing Amazon seller. Buy 313 only.,5.0 out of 5 stars
A,I like this product.,5.0 out of 5 stars
I didn't get the toothpaste so it I give you to stars,There is only 22 toothpaste no pressure is available on that,2.0 out of 5 stars
good,good,5.0 out of 5 stars
Most Valuable price,Like for this product,5.0 out of 5 stars
Good paste,Nicely packed,4.0 out of 5 stars
Good,Like,5.0 out of 5 stars
Great,Great,5.0 out of 5 stars
Deal,Asome deal,4.0 out of 5 stars
Great!!!,Wonderful purchasing,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Evergreen,Everyone knows,4.0 out of 5 stars
Is more gud discount,My forever Colgate got in gud discount thank you Amazon.,5.0 out of 5 stars
Gud products,Gud flavour,5.0 out of 5 stars
Worst of money,Worst of money,1.0 out of 5 stars
I like it,Good product 👍,5.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Everything alright.,Nothing much to say. I'm happy with my purchase.,5.0 out of 5 stars
good quality,long life product,4.0 out of 5 stars
good,good,5.0 out of 5 stars
Supev products,Best quality,5.0 out of 5 stars
Value for Money,"Freshness,Flavor and Value for money",5.0 out of 5 stars
Teeth strong and helthy,Good product,4.0 out of 5 stars
Best value for money combo pack,Ideal for big families...Colgate is a universal classic product and still is the best toothpaste around.,5.0 out of 5 stars
bast,good,5.0 out of 5 stars
Amazing,Very nice...,5.0 out of 5 stars
Must buy,Superb,5.0 out of 5 stars
Valuable,Product value,5.0 out of 5 stars
Ok,Nice,4.0 out of 5 stars
Very good product.,Value for money,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Just ok,Good,3.0 out of 5 stars
Good,Good,3.0 out of 5 stars
Jumbo doesn't work.,When the company offers you something extra than it often compromises with the quality of the product. I have notice the same thing with this product. The Colgate harbal is the best toothpaste I would like to recommend to all.,1.0 out of 5 stars
365 days experience,Original flavor is best always,5.0 out of 5 stars
Awsm,It's up to the level....,5.0 out of 5 stars
💯 Genuine,Perfect as expected,5.0 out of 5 stars
Nice,Nice product but bit expensive,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Valu for money nice products,Good,3.0 out of 5 stars
Good product,"I like quality of this toothpaste.
I use Colgate and it's good enough to meet any one expectations.
Even delivery was quick and good and no problem regarding this order..
Thanks Amazon",5.0 out of 5 stars
Good Quality for Daily Use,Good quality product for daily use at home. Amazon delivered in a well packaged condition and the product had the most recent manufacturing date. Very happy with Amazon services!,5.0 out of 5 stars
Better price,Good purchase,4.0 out of 5 stars
Over all very good,Value for money and Good quality,5.0 out of 5 stars
Nice,The flavour is really good .... Suggest u to opt for this one,5.0 out of 5 stars
Colgate Strong Teeth Tooth Paste - 200 g (Buy 3...,"One of the oldest brands available..
It gives a feeling of our childhood when we used to use it. You never know how does it help clinically. But on daily basis, one can use it to clean their teeth",5.0 out of 5 stars
Ok,Value of money,4.0 out of 5 stars
It's good over all,It's good!,4.0 out of 5 stars
Nice product,Good item,4.0 out of 5 stars
Super deal under 170,Super deal under 170,5.0 out of 5 stars
Ok,Nice,4.0 out of 5 stars
Very nice,Good product recived very nice packeing,5.0 out of 5 stars
Best,Best,4.0 out of 5 stars
Nice,Nice product,4.0 out of 5 stars
On time servic,Good,5.0 out of 5 stars
Superb.,So Far The Best.,5.0 out of 5 stars
.,Good . totally disappointed by the packaging...,5.0 out of 5 stars
Satisfied,Good product,5.0 out of 5 stars
Value for money product,Quantity is as expected,4.0 out of 5 stars
Best,Good,4.0 out of 5 stars
Value of money,Value of money,4.0 out of 5 stars
Good product 👍,Good and currently manufactured. Thanks amazon,5.0 out of 5 stars
Good,Good purchase,4.0 out of 5 stars
500 GM toothpaste Nice Deal,"Very good product and nice offer for Rs.194
Colgate is trusted brand",5.0 out of 5 stars
Good price,Am happy to Amazon,4.0 out of 5 stars
Quality,Good,4.0 out of 5 stars
Best,Good,5.0 out of 5 stars
Awesome,Budget,5.0 out of 5 stars
Good,Product was good and there is no damage,5.0 out of 5 stars
Best,Best product,4.0 out of 5 stars
Very Good ... Must buy ... Very Fast Delivery Amazon,"Colgate is my favorite toothpaste, i always like this .",5.0 out of 5 stars
Worst quality,The product which I was buy in Amazon is having worst taste and after doing the brush the tongue was getting burn. The quality is not good.,1.0 out of 5 stars
Very happy in this rate,Very happy in this rate,4.0 out of 5 stars
good,velu for mouny,4.0 out of 5 stars
Good 👍👍,Very good and satisfied 👍👍☺️😊,5.0 out of 5 stars
Recommended toothpaste,Good product,5.0 out of 5 stars
Good,Received in a proper packaging,5.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Toothpaste.,What it does. Not much to say. This pack saves money.,5.0 out of 5 stars
Nice products,Good product but let delivered,5.0 out of 5 stars
Value for money.,I like very much this product.,4.0 out of 5 stars
No comment,No comment but use as a brand. Overpriced. Check price at local store before buy.,4.0 out of 5 stars
Super,Super,5.0 out of 5 stars
Good product,Good quality,5.0 out of 5 stars
Price little high,Product is good but price is little high,2.0 out of 5 stars
very nice,perfectly delivered,5.0 out of 5 stars
Good deal,Good deal,5.0 out of 5 stars
Excellent,"Super
I got 334 rupees
&50 rupees cashback",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
The best toothpaste ever.,I like the flavour .It make my teeth whiter as ad shows.,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Value for money,Best toothpaste in market,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Nice,I use this paste since my childhood .,5.0 out of 5 stars
good,trusted,5.0 out of 5 stars
Quality is good,Good product 👍,5.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
AnnA SerViCeS,Okay,5.0 out of 5 stars
Very good,Yes,4.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Good Toothpaste Deal,Good as Colgate is one of the Best as always...!!,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Better thn any other shitty flavoured Colgate,"Wht to say abt Colgate, paste means Colgate",4.0 out of 5 stars
Ok,Like,4.0 out of 5 stars
Ok,Like,4.0 out of 5 stars
Good,Good good,4.0 out of 5 stars
As colgate,As colgate,5.0 out of 5 stars
Easy peasy,Got in time.,5.0 out of 5 stars
Evergreen toothpaste of colgate,If you are looking for a toothpaste at an affordable price and regular use. This is the perfect buy for normal regular brushing. Not recommended to person with sensative teeth. And this combo package is better then single ones.,5.0 out of 5 stars
Excellent,Value for money 325 I got,5.0 out of 5 stars
Good enough,It's colgate,4.0 out of 5 stars
Happy,Beautiful product product,5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good,Good product,5.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Good,Good,5.0 out of 5 stars
value for money product,Good product,5.0 out of 5 stars
Strongly recommend,Good product,5.0 out of 5 stars
Cheaper,Good,4.0 out of 5 stars
Nice,Good choice of,5.0 out of 5 stars
Good product,Good product,2.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
Not good packaging,Must buy,5.0 out of 5 stars
Four Stars,"Product is good but the packet is poor...
The Colgate and brush fall into the Amazon packet...",4.0 out of 5 stars
Very good,Very good,4.0 out of 5 stars
Must buy.,Good product.,5.0 out of 5 stars
Production and money good,Production is very good money is good,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Excellent.,Value for money.,5.0 out of 5 stars
Good Toothpaste,Good Toothpaste for regular paste.,5.0 out of 5 stars
Amazing,Amazing,5.0 out of 5 stars
Wow..200g + 100g and also toothbrush was included,"Product as a brand does not need any introduction.,I feel that the price should be lower as it has less ingredients than some of Colgate's other toothpastes.",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
best,"best product colgate
love it",5.0 out of 5 stars
Nice,Nice,4.0 out of 5 stars
Product in good offer,Got good offer,5.0 out of 5 stars
Nice one,"Good one
Super offer pack",5.0 out of 5 stars
Go for it,Great as usual,5.0 out of 5 stars
Quality,Above average quality,4.0 out of 5 stars
Excellent product..👌👌👌👌,Excellent Product Received.. Thanks to Amazon and It's sellers..,5.0 out of 5 stars
Good,Freshness,5.0 out of 5 stars
Super,Item is best in this quarantine time,5.0 out of 5 stars
Prefer to Buy,Nice,4.0 out of 5 stars
very good product,very nice product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good,Good,3.0 out of 5 stars
We like this product,Very good,5.0 out of 5 stars
Toothpaste- Nothing to review,Toothpaste- Nothing to review,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Nice,Super,5.0 out of 5 stars
Good,Value for money,5.0 out of 5 stars
good,good,5.0 out of 5 stars
Nothing to say about Colgate,Nothing to say about Colgate...We all knows about that it's a very good product and I am very happy..,5.0 out of 5 stars
Good,Nice delevery and product,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Overall good,not bad,3.0 out of 5 stars
Best,Best,4.0 out of 5 stars
Using it since childhood. Occassionally used other brands but ...,Using it since childhood. Occassionally used other brands but always returned to this toothpaste. My teeth are healthy and no problem ever faced when using this paste.,5.0 out of 5 stars
Discount,More discount given in this product. The price of this product is very cheap,5.0 out of 5 stars
Good product,I like the combo,5.0 out of 5 stars
Good service,"Good service, very nice products, thanks",5.0 out of 5 stars
Same as Market ! Delivery was too late !,"It's normal flavour,but useful product and regular using product,you may buy it !",5.0 out of 5 stars
Must buy,Good product... goo forr itt...!!,5.0 out of 5 stars
Delivered in damaged condition,Packing is damaged,3.0 out of 5 stars
Go gor it,Value for money.,5.0 out of 5 stars
Healthy teeth and gums,The Colgate tooth paste is known for its quality for total oral health.,5.0 out of 5 stars
Nice product,Nice product,5.0 out of 5 stars
Good,Good deal,5.0 out of 5 stars
Waste of money... Product was not send to us we received only (200+200) waste totally waste of money,There is only 2 toothpaste (200gm+ 200gm) but the description seen to us is (200gm+ 200gm+ 100gm) why? I send you full money for that but it was my loose of money,2.0 out of 5 stars
Nice product,Package is nice,5.0 out of 5 stars
Value for money,Good quality,4.0 out of 5 stars
Best,Superb,5.0 out of 5 stars
I like it,mouth Fresh,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Awesome,Very good product. Reasonable price. Value for money. Just go for it.,5.0 out of 5 stars
very good,good,5.0 out of 5 stars
Amazing,All good,5.0 out of 5 stars
Jandar,Mast,5.0 out of 5 stars
OK,OK,3.0 out of 5 stars
value for money,good prduct,5.0 out of 5 stars
Must buy,Nessessity of every house,5.0 out of 5 stars
Really nice....,What a great deal.....,5.0 out of 5 stars
Good ok,Good ok,5.0 out of 5 stars
Nice,Good,5.0 out of 5 stars
Product missing,I have ordered 2 set of Colgate in which every set contains 200gm+200gm+100gm=500gm tube but in one set there were only 200gm+100gm=300gm tube. One of 200gm tube was missing the set,1.0 out of 5 stars
Chief,Best,5.0 out of 5 stars
Product,Nice package.original product.no issues.,4.0 out of 5 stars
Tooth paste,Benifitial for us bcz buy 3 and get 1 free😊😊😊😊,5.0 out of 5 stars
Super,"Super,",5.0 out of 5 stars
Worth for money,Ok,4.0 out of 5 stars
Nice Product,Nice Product,5.0 out of 5 stars
seal of all packets were opened beforehand..,I bought 4 packets....but I noticed that seal of all packets were opened beforehand... and most of the pastes were out of the toothpaste box...,2.0 out of 5 stars
Value for money pack!!!,Have been using Colgate since childhood.. This is a cool money saver pack.. Awesome! Go for it.,5.0 out of 5 stars
Superb offer,Superb,5.0 out of 5 stars
Good product.,Good.,4.0 out of 5 stars
Nyc product,Really nyc product,5.0 out of 5 stars
Good product,Nice,5.0 out of 5 stars
Worth,Value for money,5.0 out of 5 stars
COLGATE DENTAL CREAM,Nothing to tell about Colgate everybody know what is this?,5.0 out of 5 stars
Good,Good.,5.0 out of 5 stars
Good,Good product,4.0 out of 5 stars
Very good,Very good,5.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Damaged Leaked expired,Got delivered damaged product. You can see it was 2years old from manufacturing date. And other one got damaged and leaking.,1.0 out of 5 stars
Good,Good,1.0 out of 5 stars
Colgate strong,Good,5.0 out of 5 stars
Good,Good product,4.0 out of 5 stars
good,Good,4.0 out of 5 stars
Nice,Nice,5.0 out of 5 stars
Very bad packing by Amazon,Product is good...but packing is very bad by Amazon as usal..,5.0 out of 5 stars
Value for money.,Good..,4.0 out of 5 stars
Best product,Good package,5.0 out of 5 stars
not satisfied,Quantity of 200gm paste is low compared with kirana store 200gm paste this is not satisfied that's why they kept items are not able to return,2.0 out of 5 stars
Not so good,Not as par brand,3.0 out of 5 stars
Good product,Like,4.0 out of 5 stars
Very Good.,Value for money.,5.0 out of 5 stars
Fabulous,Good deal,5.0 out of 5 stars
Ok,"Very good product
But teste is not much as patanjali",5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Beneficial,Combo pack in Rs.110 with a toothbrush..go for it,4.0 out of 5 stars
Best,Good,4.0 out of 5 stars
Simple & Refreshing,The Colgate White toothpaste is a classic one & is best when it comes to oral care & freshness. Also isn't very costly.,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Ok,Ok,4.0 out of 5 stars
Value for money,Like,5.0 out of 5 stars
Four Stars,Good product.,4.0 out of 5 stars
price more increase,"To good, but at the time of purchasing again price more increase",4.0 out of 5 stars
Worest product,"Very old 7 months old product received taste very sour. Waste of money Colgate. Rather Dabour Red, Meswak or Danthakanthi are 100 times best.",1.0 out of 5 stars
Ok,Ok,3.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Good value pack,Nice offer,4.0 out of 5 stars
Definitely go for it👍,"Good and original👍
Amazon always gives newer product and quality products💪",5.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good,Good,4.0 out of 5 stars
Good and value for money.,Value for money. Got in 135 only.,5.0 out of 5 stars
I received thi items with open pack,,1.0 out of 5 stars
Nice,Good,4.0 out of 5 stars
Good product,Best,5.0 out of 5 stars
Ganesh Nayak,Product is ok & I give rating for delivery time as a prime member.,4.0 out of 5 stars
Good tooth paste.,One of the good item for strong teeth.,4.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Nice very good,Nice,4.0 out of 5 stars
Gud,Mast,5.0 out of 5 stars
You Won't find a better deal at any shop than amazon!!!,"one of the finest toothpaste, and got it at a very less price in a lightning deal. highly recommended!!",5.0 out of 5 stars
Old is gold,No brainer. All is as expected since childhood.,5.0 out of 5 stars
Nice,Good product,5.0 out of 5 stars
great deal.,value for money.,5.0 out of 5 stars
Four Stars,Product is good BT product packet is teared..,4.0 out of 5 stars
Missing products,200g Toothpaste missing in packet received only 200g +100g in each pkt,2.0 out of 5 stars
Missing 200g tube,In 500g pack one 200gm tube is missing,2.0 out of 5 stars
Excellent toothpaste....Bas Naam hi kaphi hai,Colgate toothpaste is really best and long lasting in performance. Experience of many years in use proves itself as best toothpaste.,5.0 out of 5 stars
Best,Super product.......,5.0 out of 5 stars
Nil,Nil,5.0 out of 5 stars
Very bad product not upto the mark,Fake or duplicate product,1.0 out of 5 stars
Incomplete,"This is the second time I'm buying this, first was complete but I only received 400g(2 x 200g)this time",1.0 out of 5 stars
1 colgate missing,"One colgate missing, I m supposed to receive 4 big and 2 small but I received only 4 big and 1 small, and is very disappointed, waste of discount and waste of money.... I regret. Packaging everything was open and not packed properly.... Not even 1 star but 0 star.....",1.0 out of 5 stars
Good buy,Good buy,5.0 out of 5 stars
Nice,Great product,5.0 out of 5 stars
Nice,Very good,5.0 out of 5 stars
b,orignal product,5.0 out of 5 stars
Good package,Good product,5.0 out of 5 stars
Very nice,Awesome product,5.0 out of 5 stars
Good,Good product,5.0 out of 5 stars
Best seller,Good product,5.0 out of 5 stars
Four Stars,Love this for colour (white) and taste.,4.0 out of 5 stars
Ok,Ok,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Broken order,"My order's pack was all open and teared up, there was no cap on toothpaste soo all tha paste was spreaded in packet",2.0 out of 5 stars
Very good,Good,5.0 out of 5 stars
Toothpaste,Good and value money,5.0 out of 5 stars
lil bit harsh,it cleans teeth nicely and give moh fresh feeling but it also side effected skin behind my lips. lil bit harsh,3.0 out of 5 stars
Nice,Good,5.0 out of 5 stars
Super,Super,5.0 out of 5 stars
Best,Best,5.0 out of 5 stars
Ok,Best,5.0 out of 5 stars
Osm products great price on market,Great product and great service 😊 😊,5.0 out of 5 stars
Service getting downgraded.,Delivered in this condition.,2.0 out of 5 stars
Best,Good,5.0 out of 5 stars
Best,Best,5.0 out of 5 stars
Product and packing,"1) original product, but expray date end on 3-4 months
2) good and safe packing.",5.0 out of 5 stars
प्रोडक्ट कम है,प्रोडक्ट कम है,1.0 out of 5 stars
Four Stars,got it for 112.go for it.,4.0 out of 5 stars
Very good,Very good,3.0 out of 5 stars
Whitness,I am an old black man with white broken teeth,5.0 out of 5 stars
Service charges,"I don't like ,am a prime member and added services charge for this.",1.0 out of 5 stars
Weight is not ok,It seems that weight is not ok...,2.0 out of 5 stars
Four Stars,no comments,4.0 out of 5 stars
Awesome price,Nice I AM BOOKING 4 PS,5.0 out of 5 stars
Good,Nice,3.0 out of 5 stars
As expected,Nothing to dislike,5.0 out of 5 stars
Received in perfect condition,Received it in perfect condition 👍,5.0 out of 5 stars
Five Stars,It is a fantastic offer.Your service is superb. I am eagerly waiting for another opportunity..,5.0 out of 5 stars
Good,Good,5.0 out of 5 stars
Chanceless,Buy 3 n get 1 free.. 80+ rupees saving.. great,5.0 out of 5 stars
Four Stars,Good,4.0 out of 5 stars
Good,I Have Received This Item As Expected With Current Manufacturing Date. Wish To Order It Again.,5.0 out of 5 stars
Biggest gate colgate.,"The taste of paste was mast(Hindi wala amazing) and pricing was good
If u found helpful then press helpful
Abki baar Colgate yaar",5.0 out of 5 stars
Five Stars,"Good deal. My all family members use this paste. Box having good quality tooth brush. Thanks amazon.
Recommended.",5.0 out of 5 stars
Best best best,Colgate no 1.,5.0 out of 5 stars
Nice,Value for money,5.0 out of 5 stars
Nice product,Nice product,2.0 out of 5 stars
Good one,Colgate is a well known brand...,4.0 out of 5 stars
Very Nice !!!,Very Nice !!!,5.0 out of 5 stars
Perfect,Good quality,5.0 out of 5 stars
Excellent product...,"Amazing... Product...
This helps us fixing cavity problems",5.0 out of 5 stars
Very good,Nice one very good,5.0 out of 5 stars
Verynice,Very nice,5.0 out of 5 stars
Very Good,"Good Product, Save Money, Good Delivery.",5.0 out of 5 stars
Favorite toothpaste,Name is enough and im going to receive new tablets from learn and win offer🙂,5.0 out of 5 stars
Five Stars,Good product - low cost - thank you very much Amazon,5.0 out of 5 stars
Purchase of items from Amazon.,Okay. Happy with our purchase.,5.0 out of 5 stars
Reality,Nice Product,5.0 out of 5 stars
